Year,rate
1965,26.44478485
1966,13.23788546
1967,-8.422485898
1968,7.894736842
1969,7.317073163
1970,3.030303031
1971,9.558823537
1972,10.06711409
1973,17.68292682
1974,18.13471503
1975,29.8245614
1976,56.08108108
1977,116.4502165
1978,73.09166667
1979,54.44128833
1980,50.07013934
1981,116.503604
1982,22.29556641
1983,122.8745146
1984,39.66531379
1985,10.30544067
1986,24.56541608
1987,39.81506788
1988,31.35926763
1989,25.22369203
1990,37.25906649
1991,18.03143901
1992,10.05611674
1993,24.95984247
1994,24.87025544
1995,59.4615537
1996,46.56101968
1997,27.88520864
1998,14.62416667
1999,4.865397851
2000,40.24093312
2001,41.50949629
2002,9.360932396
2003,29.77297972
2004,18.04273882
2005,15.43899202
2006,11.67918394
2007,10.73426655
2008,16.49463961
2009,19.24694822
2010,10.73338984
2011,8.728459371
2012,11.18634094
2013,11.66619231
2014,15.48961603
2015,17.1499695
2016,17.45463471
2017,12.37192155
2018,7.808765166
2019,7.143640033
2020,9.887289563
2021,9.971088675
